City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
109,Departamento de Maldonado,40,UY,1614652463,94,-34.6667,-54.9167,71.6,8.05
110,East London,0,ZA,1614652261,77,-33.0153,27.9116,70.52,15.28
111,São Filipe,10,CV,1614652463,77,14.8961,-24.4956,67.33,10.29
112,Khunti,0,IN,1614652463,56,23.0833,85.2833,68.0,8.23
113,Yulara,0,AU,1614652463,9,-25.2406,130.9889,98.6,9.22
114,Yasnyy,98,RU,1614652363,93,51.0333,59.8742,-2.92,13.18
115,Kavaratti,1,IN,1614652463,72,10.5669,72.642,81.54,6.46
116,Hamilton,1,US,1614652430,55,39.1834,-84.5333,35.6,12.66
117,Birao,0,CF,1614652464,20,10.2849,22.7882,70.95,9.17
118,Sibu,20,MY,1614652464,74,2.3,111.8167,84.2,8.05
119,Barrow,1,US,1614652464,69,71.2906,-156.7887,-20.2,11.5
120,Bhavnagar,0,IN,1614652207,28,21.7667,72.15,72.25,11.5
121,Saint George,1,US,1614652291,12,37.1041,-113.5841,55.4,9.22
122,Arraial do Cabo,20,BR,1614652465,94,-22.9661,-42.0278,75.2,9.22
123,Paramonga,98,PE,1614652465,74,-10.6667,-77.8333,72.77,5.17
124,Zyryanka,100,RU,1614652465,82,65.75,150.85,-26.1,4.36
125,Port-Cartier,90,CA,1614652465,100,50.0334,-66.8654,28.4,19.57
126,Zlobin,0,HR,1614652465,53,45.2924,14.6541,48.2,8.97
127,Juxtlahuaca,9,MX,1614652466,93,17.4294,-99.1467,67.35,3.74
128,Nevel'sk,40,RU,1614652466,73,46.6733,141.8633,17.6,13.42
129,Atuona,7,PF,1614652466,75,-9.8,-139.0333,79.81,12.8
130,Ponta do Sol,75,PT,1614652466,67,32.6667,-17.1,59.0,4.61
131,Wau,0,SS,1614652466,22,7.7029,27.9953,70.2,4.92
132,Tutóia,100,BR,1614652466,86,-2.7619,-42.2744,79.07,10.38
133,Toro,40,CO,1614652467,94,4.6117,-76.0814,64.4,2.3
134,Beihai,69,CN,1614652467,62,21.4833,109.1,65.62,15.1
135,Castro,100,BR,1614652467,95,-24.7911,-50.0119,60.93,5.5
136,Tual,100,ID,1614652467,75,-5.6667,132.75,83.52,13.13
137,Fortuna,20,US,1614652467,81,40.5982,-124.1573,48.0,4.61
138,Isangel,40,VU,1614652467,62,-19.55,169.2667,87.8,11.5
139,Hobart,75,AU,1614652323,62,-42.8794,147.3294,60.01,19.57
140,Cervo,63,ES,1614652468,82,43.6702,-7.4101,51.49,5.19
141,Butaritari,73,KI,1614652468,78,3.0707,172.7902,81.19,13.44
142,Esperance,75,AU,1614652468,68,-33.8667,121.9,69.8,18.41
143,Narsaq,0,GL,1614652468,23,60.9167,-46.05,32.0,18.41
144,North Bend,1,US,1614652468,71,43.4065,-124.2243,51.8,2.98
145,Altagracia de Orituco,15,VE,1614652201,80,9.8601,-66.3814,67.35,7.96
146,Kaitangata,52,NZ,1614652468,59,-46.2817,169.8464,70.61,4.63
147,Mogadishu,100,SO,1614652469,83,2.0371,45.3438,76.62,15.1
148,São João da Barra,70,BR,1614652469,89,-21.6403,-41.0511,75.79,8.7
149,Santa Cruz de la Sierra,68,BO,1614652201,83,-17.8,-63.1667,77.0,6.91
150,Tabora,40,TZ,1614652469,94,-5.0167,32.8,66.2,3.62
151,Trairi,90,BR,1614652469,86,-3.2778,-39.2689,77.04,6.38
152,Faanui,99,PF,1614652469,68,-16.4833,-151.75,83.52,2.66
153,Shubarshi,100,KZ,1614652469,93,48.5872,57.1869,0.28,8.39
154,Kahului,40,US,1614652397,50,20.8947,-156.47,77.0,20.71
155,San Policarpo,100,PH,1614652470,72,12.1791,125.5072,81.84,9.28
156,Puerto Quijarro,28,BO,1614652470,75,-17.7833,-57.7667,78.08,4.14
157,Shingū,75,JP,1614652470,94,33.7333,135.9833,53.6,21.85
158,Soyo,100,AO,1614652470,86,-6.1349,12.3689,79.79,8.46
159,Cristalina,100,BR,1614652471,100,-16.7686,-47.6136,62.13,5.86
160,Lowestoft,90,GB,1614652471,93,52.4752,1.7516,41.0,8.05
161,Cidreira,100,BR,1614652471,85,-30.1811,-50.2056,75.22,17.69
162,Krasnyy Yar,90,RU,1614652471,93,46.5331,48.3456,32.0,6.71
163,Constitución,88,CL,1614652256,85,-35.3333,-72.4167,60.46,4.76
164,Deputatsky,99,RU,1614652471,88,69.3,139.9,-24.52,1.1
165,Clyde River,40,CA,1614652472,76,70.4692,-68.5914,-14.8,8.05
166,Dhidhdhoo,0,MV,1614652472,62,6.8833,73.1,83.25,9.82
167,Mossamedes,1,AO,1614652472,72,-15.1961,12.1522,73.18,9.04
168,Lake Havasu City,1,US,1614652472,8,34.4839,-114.3224,62.6,3.44
169,Sorong,100,ID,1614652472,83,-0.8833,131.25,79.65,9.62
170,Ballaghaderreen,8,IE,1614652472,96,53.9,-8.5833,33.58,4.79
171,Pemba,75,MZ,1614652473,94,-12.974,40.5178,75.2,5.75
172,Arroyo de la Encomienda,0,ES,1614652473,87,41.6096,-4.7969,44.6,11.5
173,Kloulklubed,90,PW,1614652473,89,7.0419,134.2556,78.8,14.97
174,Saint-Pierre,0,RE,1614652473,53,-21.3393,55.4781,77.0,8.05
175,Atar,0,MR,1614652473,33,20.5169,-13.0499,61.47,11.01
176,Moa,26,CU,1614652473,83,20.6569,-74.9403,73.99,12.68
177,Port Shepstone,0,ZA,1614652473,82,-30.7414,30.455,69.82,15.35
178,Dingle,100,PH,1614652473,72,10.9995,122.6711,84.4,12.28
179,Westport,75,US,1614652245,48,41.1415,-73.3579,37.4,19.57
180,Kenai,40,US,1614652474,86,60.5544,-151.2583,24.8,0.83
181,Linxia Chengguanzhen,100,CN,1614652474,64,35.6003,103.2064,37.02,2.93
182,Batagay,17,RU,1614652474,81,67.6333,134.6333,-26.03,1.7
183,Hambantota,1,LK,1614652474,88,6.1241,81.1185,71.6,4.61
